Added Member To Class: ClassName=MCU Member=Component BT1 BT_NRST
Added Member To Class: ClassName=POWERchDoc Member=Component C1 100uF 10V
Added Member To Class: ClassName=POWERchDoc Member=Component C2 100uF 10V
Added Member To Class: ClassName=POWERchDoc Member=Component C3 100uF 10V
Added Member To Class: ClassName=POWERchDoc Member=Component C4 100uF 10V
Added Member To Class: ClassName=POWERchDoc Member=Component C5 2.2nF 25V
Added Member To Class: ClassName=POWERchDoc Member=Component C6 2.2nF 25V
Added Member To Class: ClassName=POWERchDoc Member=Component C7 2.2nF 25V
Added Member To Class: ClassName=POWERchDoc Member=Component C8 2.2nF 25V
Added Member To Class: ClassName=POWERchDoc Member=Component C9 2.2nF 25V
Added Member To Class: ClassName=POWERchDoc Member=Component C10 2.2nF 25V
Added Member To Class: ClassName=POWERchDoc Member=Component C11 0.22uF 25V
Added Member To Class: ClassName=POWERchDoc Member=Component C12 0.22uF 25V
Added Member To Class: ClassName=POWERchDoc Member=Component C13 0.22uF 25V
Added Member To Class: ClassName=POWERchDoc Member=Component C14 0.22uF 25V
Added Member To Class: ClassName=POWERchDoc Member=Component C15 100uF 10V
Added Member To Class: ClassName=POWERchDoc Member=Component C16 100uF 10V
Added Member To Class: ClassName=POWERchDoc Member=Component C17 100uF 10V
Added Member To Class: ClassName=POWERchDoc Member=Component C18 100uF 10V
Added Member To Class: ClassName=LED Member=Component C19 0.1uF 25V
Added Member To Class: ClassName=LED Member=Component C20 4.7uF 25V
Added Member To Class: ClassName=LED Member=Component C21 0.1uF 25V
Added Member To Class: ClassName=HEATER Member=Component C22 4.7uF 25V
Added Member To Class: ClassName=LED Member=Component C23 4.7uF 25V
Added Member To Class: ClassName=LED Member=Component C24 4.7uF 25V
Added Member To Class: ClassName=LED Member=Component C25 4.7uF 25V
Added Member To Class: ClassName=HEATER Member=Component C26 4.7uF 25V
Added Member To Class: ClassName=LED Member=Component C27 470nF 25V
Added Member To Class: ClassName=LED Member=Component C28 470nF 25V
Added Member To Class: ClassName=LED Member=Component C29 1uF 25V
Added Member To Class: ClassName=LED Member=Component C30 1uF 25V
Added Member To Class: ClassName=LED Member=Component C31 1uF 25V
Added Member To Class: ClassName=LED Member=Component C32 1uF 25V
Added Member To Class: ClassName=LED Member=Component C33 0.1uF 25V
Added Member To Class: ClassName=HEATER Member=Component C34 0.1uF 25V
Added Member To Class: ClassName=LED Member=Component C35 0.1uF 25V
Added Member To Class: ClassName=HEATER Member=Component C36 0.1uF 25V
Added Member To Class: ClassName=NTC Member=Component C37 8nF
Added Member To Class: ClassName=NTC Member=Component C38 8nF
Added Member To Class: ClassName=NTC Member=Component C39 8nF
Added Member To Class: ClassName=NTC Member=Component C40 8nF
Added Member To Class: ClassName=LED Member=Component C41 470nF 25V
Added Member To Class: ClassName=LED Member=Component C42 470nF 25V
Added Member To Class: ClassName=LED Member=Component C43 1uF 25V
Added Member To Class: ClassName=LED Member=Component C44 1uF 25V
Added Member To Class: ClassName=LED Member=Component C45 1uF 25V
Added Member To Class: ClassName=LED Member=Component C46 1uF 25V
Added Member To Class: ClassName=NTC Member=Component C47 0.22uF 25V
Added Member To Class: ClassName=HEATER Member=Component C48 470nF 25V
Added Member To Class: ClassName=NTC Member=Component C49 0.22uF 25V
Added Member To Class: ClassName=HEATER Member=Component C50 470nF 25V
Added Member To Class: ClassName=NTC Member=Component C51 0.22uF 25V
Added Member To Class: ClassName=NTC Member=Component C52 0.22uF 25V
Added Member To Class: ClassName=NTC Member=Component C53 0.22uF 25V
Added Member To Class: ClassName=HEATER Member=Component C54 1uF 25V
Added Member To Class: ClassName=NTC Member=Component C55 0.22uF 25V
Added Member To Class: ClassName=HEATER Member=Component C56 1uF 25V
Added Member To Class: ClassName=NTC Member=Component C57 0.22uF 25V
Added Member To Class: ClassName=NTC Member=Component C58 0.22uF 25V
Added Member To Class: ClassName=NTC Member=Component C59 0.22uF 25V
Added Member To Class: ClassName=NTC Member=Component C60 0.22uF 25V
Added Member To Class: ClassName=NTC Member=Component C61 0.22uF 25V
Added Member To Class: ClassName=HEATER Member=Component C62 1uF 25V
Added Member To Class: ClassName=NTC Member=Component C63 0.22uF 25V
Added Member To Class: ClassName=HEATER Member=Component C64 1uF 25V
Added Member To Class: ClassName=NTC Member=Component C65 0.22uF 25V
Added Member To Class: ClassName=NTC Member=Component C66 0.22uF 25V
Added Member To Class: ClassName=NTC Member=Component C67 0.22uF 25V
Added Member To Class: ClassName=HEATER Member=Component C68 4.7uF 25V
Added Member To Class: ClassName=NTC Member=Component C69 0.22uF 25V
Added Member To Class: ClassName=HEATER Member=Component C70 4.7uF 25V
Added Member To Class: ClassName=I2C_SENSOR Member=Component C71 0.22uF 25V
Added Member To Class: ClassName=I2C_SENSOR Member=Component C72 0.22uF 25V
Added Member To Class: ClassName=I2C_SENSOR Member=Component C73 1uF 25V
Added Member To Class: ClassName=I2C_SENSOR Member=Component C74 1uF 25V
Added Member To Class: ClassName=TECS_DRIVER Member=Component C75 4.7uF 25V
Added Member To Class: ClassName=TECS_DRIVER Member=Component C76 4.7uF 25V
Added Member To Class: ClassName=ISO_COMMUNICATION Member=Component C77 0.22uF 25V
Added Member To Class: ClassName=ISO_COMMUNICATION Member=Component C78 0.22uF 25V
Added Member To Class: ClassName=ISO_COMMUNICATION Member=Component C79 0.22uF 25V
Added Member To Class: ClassName=ISO_COMMUNICATION Member=Component C80 0.22uF 25V
Added Member To Class: ClassName=ISO_COMMUNICATION Member=Component C81 0.22uF 25V
Added Member To Class: ClassName=ISO_COMMUNICATION Member=Component C82 0.22uF 25V
Added Member To Class: ClassName=ISO_COMMUNICATION Member=Component C83 0.22uF 25V
Added Member To Class: ClassName=ISO_COMMUNICATION Member=Component C84 0.22uF 25V
Added Member To Class: ClassName=TECS_DRIVER Member=Component C85 4.7uF 25V
Added Member To Class: ClassName=TECS_DRIVER Member=Component C86 4.7uF 25V
Added Member To Class: ClassName=TECS_DRIVER Member=Component C87 0.1uF 25V
Added Member To Class: ClassName=HEATER Member=Component C88 0.1uF 25V
Added Member To Class: ClassName=TECS_DRIVER Member=Component C89 0.1uF 25V
Added Member To Class: ClassName=HEATER Member=Component C90 0.1uF 25V
Added Member To Class: ClassName=TECS_DRIVER Member=Component C91 0.22uF 25V
Added Member To Class: ClassName=TECS_DRIVER Member=Component C92 0.22uF 25V
Added Member To Class: ClassName=TECS_DRIVER Member=Component C93 0.22uF 25V
Added Member To Class: ClassName=TECS_DRIVER Member=Component C94 0.22uF 25V
Added Member To Class: ClassName=TECS_DRIVER Member=Component C95 0.1uF 25V
Added Member To Class: ClassName=HEATER Member=Component C96 470nF 25V
Added Member To Class: ClassName=TECS_DRIVER Member=Component C97 0.1uF 25V
Added Member To Class: ClassName=HEATER Member=Component C98 470nF 25V
Added Member To Class: ClassName=TECS_DRIVER Member=Component C99 0.1uF 25V
Added Member To Class: ClassName=TECS_DRIVER Member=Component C100 0.1uF 25V
Added Member To Class: ClassName=TECS_DRIVER Member=Component C101 1uF 25V
Added Member To Class: ClassName=HEATER Member=Component C102 1uF 25V
Added Member To Class: ClassName=HEATER Member=Component C103 1uF 25V
Added Member To Class: ClassName=TECS_DRIVER Member=Component C104 1uF 25V
Added Member To Class: ClassName=TECS_DRIVER Member=Component C105 47nF 25V
Added Member To Class: ClassName=HEATER Member=Component C106 1uF 25V
Added Member To Class: ClassName=TECS_DRIVER Member=Component C107 47nF 25V
Added Member To Class: ClassName=HEATER Member=Component C108 1uF 25V
Added Member To Class: ClassName=TECS_DRIVER Member=Component C109 1uF 25V
Added Member To Class: ClassName=TECS_DRIVER Member=Component C110 1uF 25V
Added Member To Class: ClassName=TECS_DRIVER Member=Component C111 0.1uF 25V
Added Member To Class: ClassName=TECS_DRIVER Member=Component C112 47nF 25V
Added Member To Class: ClassName=TECS_DRIVER Member=Component C113 0.1uF 25V
Added Member To Class: ClassName=TECS_DRIVER Member=Component C114 47nF 25V
Added Member To Class: ClassName=TECS_DRIVER Member=Component C115 0.22uF 25V
Added Member To Class: ClassName=TECS_DRIVER Member=Component C116 0.22uF 25V
Added Member To Class: ClassName=TECS_DRIVER Member=Component C117 0.22uF 25V
Added Member To Class: ClassName=TECS_DRIVER Member=Component C118 0.22uF 25V
Added Member To Class: ClassName=TECS_DRIVER Member=Component C119 0.1uF 25V
Added Member To Class: ClassName=TECS_DRIVER Member=Component C120 47nF 25V
Added Member To Class: ClassName=TECS_DRIVER Member=Component C121 0.1uF 25V
Added Member To Class: ClassName=TECS_DRIVER Member=Component C122 47nF 25V
