Altium Designer Pick and Place Locations
D:\Altium_WorkSpace\NANORACK_EXP_HW\Project Outputs for EXP_V100\Pick Place for EXP_V100.csv

========================================================================================================================
File Design Information:

Date:       28/10/24
Time:       18:59
Revision:   3b57a2da946751674008d6ea5871703e64b57a53
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"D12","USBLC6-2SC6","BottomLayer","SOT23-6-123_456","2913.386","559.052","180",""
"D9","DSS14U","TopLayer","sod-123","2679.213","2399.016","270",""
"D8","DSS14U","TopLayer","sod-123","2362.205","2399.016","270",""
"D5","DSS14U","TopLayer","sod-123","2045.984","2399.016","270",""
"D4","DSS14U","TopLayer","sod-123","1729.685","2399.016","270",""
"H9","BM04B-SRSS-TB","TopLayer","BM04B-SRSS-TB","181.790","520.286","90","CONN HEADER SMD 4POS 1MM"
"H8","BM04B-SRSS-TB","TopLayer","BM04B-SRSS-TB","182.321","837.984","90","CONN HEADER SMD 4POS 1MM"
"H5","M80-8281042","BottomLayer","M80-8281042","2559.052","236.220","0","CONN HEADER SMD 10POS 2MM"
"R102","10k 1%","TopLayer","RES-SMD-0603","2339.507","1795.152","90","SMD"
"R101","120R 1%","TopLayer","RES-SMD-0603","2261.807","1795.152","90","SMD"
"R100","10k 1%","TopLayer","RES-SMD-0603","2184.108","1795.152","90","SMD"
"R99","120R 1%","TopLayer","RES-SMD-0603","2106.408","1795.152","90","SMD"
"R98","10k 1%","TopLayer","RES-SMD-0603","2028.708","1795.152","90","SMD"
"R97","120R 1%","TopLayer","RES-SMD-0603","1951.008","1795.152","90","SMD"
"R96","10k 1%","TopLayer","RES-SMD-0603","1873.308","1795.152","90","SMD"
"R95","120R 1%","TopLayer","RES-SMD-0603","1795.609","1795.152","90","SMD"
"Q4","AO3400A","TopLayer","SOT23-13_2","2302.031","1941.079","0","MOSFET N-CH 30V 5.7A SOT23-3L"
"Q3","AO3400A","TopLayer","SOT23-13_2","2145.690","1941.079","0","MOSFET N-CH 30V 5.7A SOT23-3L"
"Q2","AO3400A","TopLayer","SOT23-13_2","1989.349","1941.079","0","MOSFET N-CH 30V 5.7A SOT23-3L"
